STATION,NAME,DATE,PRCP,TAVG
RPM00098134,"BASCO RADAR, RP",20/08/2022,0,83
RPM00098134,"BASCO RADAR, RP",21/08/2022,,82
RPM00098134,"BASCO RADAR, RP",22/08/2022,0.53,80
RPM00098134,"BASCO RADAR, RP",23/08/2022,0,78
RPM00098134,"BASCO RADAR, RP",24/08/2022,,83
RPM00098134,"BASCO RADAR, RP",25/08/2022,,85
RPM00098134,"BASCO RADAR, RP",26/08/2022,,84
RPM00098134,"BASCO RADAR, RP",27/08/2022,,85
RPM00098134,"BASCO RADAR, RP",28/08/2022,,83
RPM00098134,"BASCO RADAR, RP",29/08/2022,,84
RPM00098134,"BASCO RADAR, RP",30/08/2022,,83
RPM00098134,"BASCO RADAR, RP",31/08/2022,,81
RPM00098134,"BASCO RADAR, RP",01/09/2022,,79
RPM00098134,"BASCO RADAR, RP",02/09/2022,3.36,79
RPM00098134,"BASCO RADAR, RP",03/09/2022,0,81
RPM00098134,"BASCO RADAR, RP",04/09/2022,0.06,82
RPM00098134,"BASCO RADAR, RP",05/09/2022,0.27,83
RPM00098134,"BASCO RADAR, RP",06/09/2022,0,82
RPM00098134,"BASCO RADAR, RP",07/09/2022,,81
RPM00098134,"BASCO RADAR, RP",08/09/2022,,81
RPM00098134,"BASCO RADAR, RP",09/09/2022,0,79
RPM00098134,"BASCO RADAR, RP",10/09/2022,0,80
RPM00098134,"BASCO RADAR, RP",11/09/2022,,81
RPM00098134,"BASCO RADAR, RP",12/09/2022,0.24,81
RPM00098134,"BASCO RADAR, RP",13/09/2022,0,81
RPM00098134,"BASCO RADAR, RP",14/09/2022,,82
RPM00098134,"BASCO RADAR, RP",15/09/2022,,83
RPM00098134,"BASCO RADAR, RP",16/09/2022,,83
RPM00098134,"BASCO RADAR, RP",17/09/2022,0.03,83
RPM00098134,"BASCO RADAR, RP",18/09/2022,0,83
RPM00098134,"BASCO RADAR, RP",19/09/2022,,83
RPM00098134,"BASCO RADAR, RP",20/09/2022,,78
RPM00098134,"BASCO RADAR, RP",21/09/2022,,78
RPM00098134,"BASCO RADAR, RP",22/09/2022,,79
RPM00098134,"BASCO RADAR, RP",23/09/2022,,79
RPM00098134,"BASCO RADAR, RP",24/09/2022,,79
RPM00098134,"BASCO RADAR, RP",25/09/2022,,82
RPM00098134,"BASCO RADAR, RP",26/09/2022,0.02,78
RPM00098134,"BASCO RADAR, RP",27/09/2022,0.59,80
RPM00098134,"BASCO RADAR, RP",28/09/2022,0,81
RPM00098134,"BASCO RADAR, RP",29/09/2022,,83
RPM00098134,"BASCO RADAR, RP",30/09/2022,,81
RPM00098134,"BASCO RADAR, RP",01/10/2022,0.38,81
RPM00098134,"BASCO RADAR, RP",02/10/2022,0.17,81
RPM00098134,"BASCO RADAR, RP",03/10/2022,0.03,81
RPM00098134,"BASCO RADAR, RP",04/10/2022,0.27,81
RPM00098134,"BASCO RADAR, RP",05/10/2022,0.57,79
RPM00098134,"BASCO RADAR, RP",06/10/2022,0.46,81
RPM00098134,"BASCO RADAR, RP",07/10/2022,0.05,81
RPM00098134,"BASCO RADAR, RP",08/10/2022,0.14,80
RPM00098134,"BASCO RADAR, RP",09/10/2022,0.78,82
RPM00098134,"BASCO RADAR, RP",10/10/2022,0.02,76
RPM00098134,"BASCO RADAR, RP",11/10/2022,0.47,74
RPM00098134,"BASCO RADAR, RP",12/10/2022,0,75
RPM00098134,"BASCO RADAR, RP",13/10/2022,2.43,78
RPM00098134,"BASCO RADAR, RP",14/10/2022,0,78
RPM00098134,"BASCO RADAR, RP",15/10/2022,,77
RPM00098134,"BASCO RADAR, RP",16/10/2022,2.64,80
RPM00098134,"BASCO RADAR, RP",17/10/2022,0,80
RPM00098134,"BASCO RADAR, RP",18/10/2022,,72
RPM00098134,"BASCO RADAR, RP",19/10/2022,,73
RPM00098134,"BASCO RADAR, RP",20/10/2022,,75
RPM00098134,"BASCO RADAR, RP",21/10/2022,,76
RPM00098134,"BASCO RADAR, RP",22/10/2022,,80
RPM00098134,"BASCO RADAR, RP",23/10/2022,,80
RPM00098134,"BASCO RADAR, RP",24/10/2022,,75
RPM00098134,"BASCO RADAR, RP",25/10/2022,,76
RPM00098134,"BASCO RADAR, RP",26/10/2022,,76
RPM00098134,"BASCO RADAR, RP",27/10/2022,,78
RPM00098134,"BASCO RADAR, RP",28/10/2022,,78
RPM00098134,"BASCO RADAR, RP",29/10/2022,0.18,77
RPM00098134,"BASCO RADAR, RP",30/10/2022,2.84,76
RPM00098134,"BASCO RADAR, RP",31/10/2022,2.92,80
RPM00098134,"BASCO RADAR, RP",01/11/2022,0,78
RPM00098134,"BASCO RADAR, RP",02/11/2022,0.22,77
RPM00098134,"BASCO RADAR, RP",03/11/2022,0,78
RPM00098134,"BASCO RADAR, RP",04/11/2022,,78
RPM00098134,"BASCO RADAR, RP",05/11/2022,1.86,75
RPM00098134,"BASCO RADAR, RP",06/11/2022,7.95,76
RPM00098134,"BASCO RADAR, RP",07/11/2022,0.35,76
RPM00098134,"BASCO RADAR, RP",08/11/2022,2.84,76
RPM00098134,"BASCO RADAR, RP",09/11/2022,0.6,78
RPM00098134,"BASCO RADAR, RP",10/11/2022,0.33,77
RPM00098134,"BASCO RADAR, RP",11/11/2022,0.12,80
RPM00098134,"BASCO RADAR, RP",12/11/2022,0,80
RPM00098134,"BASCO RADAR, RP",13/11/2022,0.06,79
RPM00098134,"BASCO RADAR, RP",14/11/2022,0,79
RPM00098134,"BASCO RADAR, RP",15/11/2022,,78
RPM00098134,"BASCO RADAR, RP",16/11/2022,,78
RPM00098134,"BASCO RADAR, RP",17/11/2022,,79
RPM00098134,"BASCO RADAR, RP",18/11/2022,,78
RPM00098134,"BASCO RADAR, RP",19/11/2022,,78
RPM00098134,"BASCO RADAR, RP",20/11/2022,,78
RPM00098134,"BASCO RADAR, RP",21/11/2022,,77
RPM00098134,"BASCO RADAR, RP",22/11/2022,,78
RPM00098134,"BASCO RADAR, RP",23/11/2022,,79
RPM00098134,"BASCO RADAR, RP",24/11/2022,,80
RPM00098134,"BASCO RADAR, RP",25/11/2022,1.2,78
RPM00098134,"BASCO RADAR, RP",26/11/2022,0,78
RPM00098134,"BASCO RADAR, RP",27/11/2022,0,77
RPM00098134,"BASCO RADAR, RP",28/11/2022,0.06,79
RPM00098134,"BASCO RADAR, RP",29/11/2022,0,79
RPM00098134,"BASCO RADAR, RP",30/11/2022,,77
RPM00098134,"BASCO RADAR, RP",01/12/2022,,76
RPM00098134,"BASCO RADAR, RP",02/12/2022,,77
RPM00098134,"BASCO RADAR, RP",03/12/2022,,78
RPM00098134,"BASCO RADAR, RP",04/12/2022,,78
RPM00098134,"BASCO RADAR, RP",05/12/2022,,77
RPM00098134,"BASCO RADAR, RP",06/12/2022,0.04,74
RPM00098134,"BASCO RADAR, RP",07/12/2022,0.09,76
RPM00098134,"BASCO RADAR, RP",08/12/2022,0,76
RPM00098134,"BASCO RADAR, RP",09/12/2022,0.18,75
RPM00098134,"BASCO RADAR, RP",10/12/2022,0,75
RPM00098134,"BASCO RADAR, RP",11/12/2022,,73
RPM00098134,"BASCO RADAR, RP",12/12/2022,,76
RPM00098134,"BASCO RADAR, RP",13/12/2022,,75
RPM00098134,"BASCO RADAR, RP",14/12/2022,,73
RPM00098134,"BASCO RADAR, RP",15/12/2022,,76
RPM00098134,"BASCO RADAR, RP",16/12/2022,,78
RPM00098134,"BASCO RADAR, RP",17/12/2022,0.87,70
RPM00098134,"BASCO RADAR, RP",18/12/2022,1.86,63
RPM00098134,"BASCO RADAR, RP",19/12/2022,0,67
RPM00098134,"BASCO RADAR, RP",20/12/2022,0.09,71
RPM00098134,"BASCO RADAR, RP",21/12/2022,0.65,72
RPM00098134,"BASCO RADAR, RP",22/12/2022,0.12,67
RPM00098134,"BASCO RADAR, RP",23/12/2022,0,65
RPM00098134,"BASCO RADAR, RP",24/12/2022,0,64
RPM00098134,"BASCO RADAR, RP",25/12/2022,0,66
RPM00098134,"BASCO RADAR, RP",26/12/2022,0,67
RPM00098134,"BASCO RADAR, RP",27/12/2022,0,68
RPM00098134,"BASCO RADAR, RP",28/12/2022,0.24,72
RPM00098134,"BASCO RADAR, RP",29/12/2022,0.09,70
RPM00098134,"BASCO RADAR, RP",31/12/2022,0.53,72
